norm,weight
AllowWearMask,1
EncourageSocialDistance,1
WearMasInPublicIndoor,1
EmployeesWearMask,1
MaintainDistance,1
EncourageTelework,2
BeachesClosed[VirginiaBeach],2
BeachesClosed[all],2.5
SmallGroups[100,public],3
SmallGroups[250,PP],3
BusinessClosed[DMV],3
ReduceBusinessHours,3
StayHomeSick,3
StayHome[age>65],3
StayHome[all],4
SmallGroups[10,public],4
SmallGroups[50,PP],5
SmallGroups[10,PP],5
TakeawayAndOutdoorOnly,5.5
ReduceBusinessCapacity[75%],5.5
TakeawayOnly,6
ReduceBusinessCapacity[50%],6
ReduceBusinessCapacity[10],7
BusinessClosed[DMV;NEB],8
ReduceHigherEducCapacity,9
SchoolsClosed[K12],9.5
SchoolsClosed[K12;HIGHER_EDUCATION],10



