date,county,state,fips,cases,deaths
2020-02-13,Fairfax,Virginia,51059,4.62378,0
2020-02-14,Fairfax,Virginia,51059,9.18653,0
2020-02-15,Arlington,Virginia,51013,2.17562,0
2020-02-15,Fairfax,Virginia,51059,14.3043,0
2020-02-15,Loudoun,Virginia,51107,2.17764,0
2020-02-15,Spotsylvania,Virginia,51177,2.17662,0
2020-02-16,Arlington,Virginia,51013,4.32085,0
2020-02-16,Fairfax,Virginia,51059,19.7392,0
2020-02-16,Hanover,Virginia,51085,2.1092,0
2020-02-16,Loudoun,Virginia,51107,4.32485,0
2020-02-16,Spotsylvania,Virginia,51177,4.32282,0
2020-02-17,Arlington,Virginia,51013,7.01096,0
2020-02-17,Fairfax,Virginia,51059,25.8976,0
2020-02-17,Hanover,Virginia,51085,4.18804,0
2020-02-17,Loudoun,Virginia,51107,7.01744,0
2020-02-17,Spotsylvania,Virginia,51177,6.4386,0
2020-02-18,Arlington,Virginia,51013,11.1624,0
2020-02-18,Fairfax,Virginia,51059,32.9065,0
2020-02-18,Hanover,Virginia,51085,6.23652,0
2020-02-18,Harrisonburg,Virginia,51660,1.97115,0
2020-02-18,James City,Virginia,51095,13.797,0
2020-02-18,Loudoun,Virginia,51107,10.4139,0
2020-02-18,Prince Edward,Virginia,51147,1.97154,0
2020-02-18,Prince William,Virginia,51153,1.9731,0
2020-02-18,Spotsylvania,Virginia,51177,8.52398,0
2020-02-19,Arlington,Virginia,51013,16.9428,0
2020-02-19,Chesterfield,Virginia,51041,1.90414,0
2020-02-19,Fairfax,Virginia,51059,41.1768,0
2020-02-19,Hanover,Virginia,51085,8.25463,0
2020-02-19,Harrisonburg,Virginia,51660,3.9121,0
2020-02-19,James City,Virginia,51095,28.2585,0
2020-02-19,Loudoun,Virginia,51107,14.8188,0
2020-02-19,Prince Edward,Virginia,51147,3.91287,0
2020-02-19,Prince William,Virginia,51153,4.79289,0
2020-02-19,Spotsylvania,Virginia,51177,10.5789,0
2020-02-20,Arlington,Virginia,51013,23.9434,0
2020-02-20,Chesterfield,Virginia,51041,3.77812,0
2020-02-20,Fairfax,Virginia,51059,51.232,0
2020-02-20,Hanover,Virginia,51085,10.2424,0
2020-02-20,Harrisonburg,Virginia,51660,5.82284,0
2020-02-20,James City,Virginia,51095,42.8333,0
2020-02-20,Loudoun,Virginia,51107,20.0508,0
2020-02-20,Prince Edward,Virginia,51147,5.82398,0
2020-02-20,Prince William,Virginia,51153,7.90752,0
2020-02-20,Spotsylvania,Virginia,51177,12.6035,0
2020-02-21,Alexandria,Virginia,51510,3.53839,0
2020-02-21,Arlington,Virginia,51013,32.026,0
2020-02-21,Charlottesville,Virginia,51540,1.7718,0
2020-02-21,Chesterfield,Virginia,51041,6.11669,0
2020-02-21,Fairfax,Virginia,51059,62.7282,0
2020-02-21,Hanover,Virginia,51085,12.1998,0
2020-02-21,Harrisonburg,Virginia,51660,7.70336,0
2020-02-21,Henrico,Virginia,51087,1.76993,0
2020-02-21,James City,Virginia,51095,57.3439,0
2020-02-21,Loudoun,Virginia,51107,25.83,0
2020-02-21,Prince Edward,Virginia,51147,7.70488,0
2020-02-21,Prince William,Virginia,51153,11.4761,0
2020-02-21,Spotsylvania,Virginia,51177,14.5976,0
2020-02-21,Virginia Beach,Virginia,51810,7.07703,0
2020-02-22,Alexandria,Virginia,51510,7.01672,0
2020-02-22,Arlington,Virginia,51013,42.3824,0
2020-02-22,Charlottesville,Virginia,51540,3.51352,0
2020-02-22,Chesterfield,Virginia,51041,9.37736,0
2020-02-22,Fairfax,Virginia,51059,75.4266,0
2020-02-22,Goochland,Virginia,51075,1.70019,0
2020-02-22,Hanover,Virginia,51085,14.1268,0
2020-02-22,Harrisonburg,Virginia,51660,9.55368,0
2020-02-22,Henrico,Virginia,51087,4.29099,0
2020-02-22,James City,Virginia,51095,72.6461,0
2020-02-22,Loudoun,Virginia,51107,32.4376,0
2020-02-22,Prince Edward,Virginia,51147,9.55556,0
2020-02-22,Prince William,Virginia,51153,15.6016,0
2020-02-22,Spotsylvania,Virginia,51177,16.4193,0
2020-02-22,Stafford,Virginia,51179,1.70201,0
2020-02-22,Virginia Beach,Virginia,51810,14.0339,0
2020-02-22,Williamsburg,Virginia,51830,1.69932,0
2020-02-22,York,Virginia,51199,1.70117,0
2020-02-23,Alexandria,Virginia,51510,10.435,0
2020-02-23,Arlington,Virginia,51013,55.4215,0
2020-02-23,Charles City,Virginia,51036,1.63702,0
2020-02-23,Charlottesville,Virginia,51540,5.22517,0
2020-02-23,Chesterfield,Virginia,51041,13.5376,0
2020-02-23,Fairfax,Virginia,51059,89.5133,0
2020-02-23,Goochland,Virginia,51075,3.37044,0
2020-02-23,Hanover,Virginia,51085,15.8873,0
2020-02-23,Harrisonburg,Virginia,51660,11.3738,0
2020-02-23,Henrico,Virginia,51087,7.07154,0
2020-02-23,James City,Virginia,51095,88.8994,0
2020-02-23,Loudoun,Virginia,51107,39.7089,0
2020-02-23,Norfolk,Virginia,51710,0,0
2020-02-23,Prince Edward,Virginia,51147,11.376,0
2020-02-23,Prince William,Virginia,51153,20.1534,0
2020-02-23,Spotsylvania,Virginia,51177,17.9388,0
2020-02-23,Stafford,Virginia,51179,4.12331,0
2020-02-23,Virginia Beach,Virginia,51810,20.8707,0
2020-02-23,Williamsburg,Virginia,51830,3.36871,0
2020-02-23,York,Virginia,51199,3.37239,0
2020-02-24,Albemarle,Virginia,51003,1.56724,0
2020-02-24,Alexandria,Virginia,51510,14.3829,0
2020-02-24,Arlington,Virginia,51013,71.0805,0
2020-02-24,Botetourt,Virginia,51023,1.56829,0
2020-02-24,Charles City,Virginia,51036,3.24409,0
2020-02-24,Charlottesville,Virginia,51540,7.49734,0
2020-02-24,Chesterfield,Virginia,51041,18.4957,0
2020-02-24,Fairfax,Virginia,51059,104.885,0
2020-02-24,Gloucester,Virginia,51073,1.56738,0
2020-02-24,Goochland,Virginia,51075,5.01075,0
2020-02-24,Hanover,Virginia,51085,17.3551,0
2020-02-24,Harrisonburg,Virginia,51660,13.1637,0
2020-02-24,Henrico,Virginia,51087,10.2468,0
2020-02-24,James City,Virginia,51095,105.935,0
2020-02-24,Loudoun,Virginia,51107,47.3033,0
2020-02-24,Norfolk,Virginia,51710,0,0
2020-02-24,Prince Edward,Virginia,51147,13.1663,0
2020-02-24,Prince William,Virginia,51153,25.7914,0
2020-02-24,Spotsylvania,Virginia,51177,19.1646,0
2020-02-24,Stafford,Virginia,51179,6.79226,0
2020-02-24,Suffolk,Virginia,51800,1.5681,0
2020-02-24,Virginia Beach,Virginia,51810,27.5873,0
2020-02-24,Williamsburg,Virginia,51830,5.00818,0
2020-02-24,York,Virginia,51199,5.01364,0
2020-02-25,Accomack,Virginia,51001,1.5015,0
2020-02-25,Albemarle,Virginia,51003,3.10466,0
2020-02-25,Alexandria,Virginia,51510,18.5635,0
2020-02-25,Arlington,Virginia,51013,88.7348,0
2020-02-25,Botetourt,Virginia,51023,3.10673,0
2020-02-25,Charles City,Virginia,51036,4.82121,0
2020-02-25,Charlottesville,Virginia,51540,10.2338,0
2020-02-25,Chesterfield,Virginia,51041,24.0674,0
2020-02-25,Fairfax,Virginia,51059,121.111,0
2020-02-25,Franklin,Virginia,51067,1.50168,0
2020-02-25,Gloucester,Virginia,51073,3.10493,0
2020-02-25,Goochland,Virginia,51075,6.62112,0
2020-02-25,Hanover,Virginia,51085,18.539,0
2020-02-25,Harrisonburg,Virginia,51660,14.7989,0
2020-02-25,Henrico,Virginia,51087,13.7047,0
2020-02-25,James City,Virginia,51095,123.906,0
2020-02-25,Loudoun,Virginia,51107,54.9279,0
2020-02-25,Mecklenburg,Virginia,51117,1.49892,0
2020-02-25,Newport News,Virginia,51700,1.50115,0
2020-02-25,Norfolk,Virginia,51710,0.392222,0
2020-02-25,Prince Edward,Virginia,51147,14.8018,0
2020-02-25,Prince William,Virginia,51153,33.583,0
2020-02-25,Rockbridge,Virginia,51163,1.5006,0
2020-02-25,Spotsylvania,Virginia,51177,20.1056,0
2020-02-25,Stafford,Virginia,51179,9.55506,0
2020-02-25,Suffolk,Virginia,51800,3.10635,0
2020-02-25,Virginia Beach,Virginia,51810,34.3848,0
2020-02-25,Williamsburg,Virginia,51830,7.45991,0
2020-02-25,York,Virginia,51199,7.18701,0
2020-02-26,Accomack,Virginia,51001,2.97322,0
2020-02-26,Albemarle,Virginia,51003,4.61224,0
2020-02-26,Alexandria,Virginia,51510,23.062,0
2020-02-26,Arlington,Virginia,51013,107.306,0
2020-02-26,Botetourt,Virginia,51023,4.61532,0
2020-02-26,Charles City,Virginia,51036,6.36839,0
2020-02-26,Charlottesville,Virginia,51540,13.2497,0
2020-02-26,Chesterfield,Virginia,51041,30.6373,0
2020-02-26,Fairfax,Virginia,51059,137.248,0
2020-02-26,Franklin,Virginia,51067,2.97356,0
2020-02-26,Gloucester,Virginia,51073,5.0088,0
2020-02-26,Goochland,Virginia,51075,8.20156,0
2020-02-26,Hanover,Virginia,51085,19.4476,0
2020-02-26,Harrisonburg,Virginia,51660,16.1611,0
2020-02-26,Henrico,Virginia,51087,17.8819,0
2020-02-26,Isle of Wight,Virginia,51093,1.43417,0
2020-02-26,James City,Virginia,51095,142.267,0
2020-02-26,Lee,Virginia,51105,2.87319,0
2020-02-26,Loudoun,Virginia,51107,62.7295,0
2020-02-26,Mecklenburg,Virginia,51117,2.96811,0
2020-02-26,Newport News,Virginia,51700,3.62764,0
2020-02-26,Norfolk,Virginia,51710,1.58564,0
2020-02-26,Prince Edward,Virginia,51147,16.1643,0
2020-02-26,Prince William,Virginia,51153,43.2646,0
2020-02-26,Rockbridge,Virginia,51163,2.97142,0
2020-02-26,Spotsylvania,Virginia,51177,20.7704,0
2020-02-26,Stafford,Virginia,51179,12.3502,0
2020-02-26,Suffolk,Virginia,51800,4.61476,0
2020-02-26,Virginia Beach,Virginia,51810,41.2734,0
2020-02-26,Williamsburg,Virginia,51830,10.5892,0
2020-02-26,York,Virginia,51199,9.80262,0
2020-02-27,Accomack,Virginia,51001,4.41516,0
2020-02-27,Albemarle,Virginia,51003,6.34395,0
2020-02-27,Alexandria,Virginia,51510,27.9242,0
2020-02-27,Amherst,Virginia,51009,1.36578,0
2020-02-27,Arlington,Virginia,51013,127.156,0
2020-02-27,Bedford,Virginia,51019,1.36711,0
2020-02-27,Botetourt,Virginia,51023,6.09406,0
2020-02-27,Charles City,Virginia,51036,7.88562,0
2020-02-27,Charlottesville,Virginia,51540,16.5378,0
2020-02-27,Chesterfield,Virginia,51041,38.2311,0
2020-02-27,Culpeper,Virginia,51047,2.73199,0
2020-02-27,Danville,Virginia,51590,1.3675,0
2020-02-27,Fairfax,Virginia,51059,153.41,0
2020-02-27,Fluvanna,Virginia,51065,1.36847,0
2020-02-27,Franklin,Virginia,51067,4.41566,0
2020-02-27,Gloucester,Virginia,51073,7.13089,0
2020-02-27,Goochland,Virginia,51075,9.88441,0
2020-02-27,Hanover,Virginia,51085,20.0896,0
2020-02-27,Harrisonburg,Virginia,51660,17.259,0
2020-02-27,Henrico,Virginia,51087,22.97,0
2020-02-27,Isle of Wight,Virginia,51093,2.83862,0
2020-02-27,James City,Virginia,51095,161.613,0
2020-02-27,Lee,Virginia,51105,5.68688,0
2020-02-27,Loudoun,Virginia,51107,71.067,0
2020-02-27,Louisa,Virginia,51109,1.36584,0
2020-02-27,Mecklenburg,Virginia,51117,4.40757,0
2020-02-27,Newport News,Virginia,51700,5.96665,0
2020-02-27,Norfolk,Virginia,51710,3.378,0
2020-02-27,Prince Edward,Virginia,51147,17.2624,0
2020-02-27,Prince William,Virginia,51153,55.0842,0
2020-02-27,Rockbridge,Virginia,51163,4.41248,0
2020-02-27,Rockingham,Virginia,51165,2.73226,0
2020-02-27,Spotsylvania,Virginia,51177,21.181,0
2020-02-27,Stafford,Virginia,51179,15.5444,0
2020-02-27,Suffolk,Virginia,51800,6.09332,0
2020-02-27,Virginia Beach,Virginia,51810,49.3638,0
2020-02-27,Williamsburg,Virginia,51830,14.2627,0
2020-02-27,York,Virginia,51199,12.948,0
2020-02-28,Accomack,Virginia,51001,5.8273,0
2020-02-28,Albemarle,Virginia,51003,8.26076,0
2020-02-28,Alexandria,Virginia,51510,33.1662,0
2020-02-28,Amherst,Virginia,51009,2.70195,0
2020-02-28,Arlington,Virginia,51013,148.675,0
2020-02-28,Bedford,Virginia,51019,2.70459,0
2020-02-28,Botetourt,Virginia,51023,7.54295,0
2020-02-28,Charles City,Virginia,51036,9.37291,0
2020-02-28,Charlottesville,Virginia,51540,20.2666,0
2020-02-28,Chesterfield,Virginia,51041,46.7194,0
2020-02-28,Culpeper,Virginia,51047,5.40477,0
2020-02-28,Danville,Virginia,51590,2.70537,0
2020-02-28,Fairfax,Virginia,51059,171.413,0
2020-02-28,Fluvanna,Virginia,51065,2.70728,0
2020-02-28,Franklin,Virginia,51067,5.82797,0
2020-02-28,Gloucester,Virginia,51073,9.36006,0
2020-02-28,Goochland,Virginia,51075,11.71,0
2020-02-28,Hanover,Virginia,51085,20.4842,0
2020-02-28,Harrisonburg,Virginia,51660,18.1012,0
2020-02-28,Henrico,Virginia,51087,29.5035,0
2020-02-28,Isle of Wight,Virginia,51093,4.21338,0
2020-02-28,James City,Virginia,51095,183.674,0
2020-02-28,Lee,Virginia,51105,8.44104,0
2020-02-28,Loudoun,Virginia,51107,80.0883,0
2020-02-28,Louisa,Virginia,51109,3.29412,0
2020-02-28,Mecklenburg,Virginia,51117,5.81729,0
2020-02-28,Newport News,Virginia,51700,8.38216,0
2020-02-28,Norfolk,Virginia,51710,5.7897,0
2020-02-28,Prince Edward,Virginia,51147,18.1047,0
2020-02-28,Prince William,Virginia,51153,69.2903,0
2020-02-28,Richmond City,Virginia,51760,10.4078,0
2020-02-28,Rockbridge,Virginia,51163,5.82378,0
2020-02-28,Rockingham,Virginia,51165,5.4053,0
2020-02-28,Spotsylvania,Virginia,51177,21.5283,0
2020-02-28,Stafford,Virginia,51179,19.3336,0
2020-02-28,Suffolk,Virginia,51800,7.54203,0
2020-02-28,Virginia Beach,Virginia,51810,59.4068,0
2020-02-28,Williamsburg,Virginia,51830,18.3687,0
2020-02-28,York,Virginia,51199,16.6023,0
2020-02-29,Accomack,Virginia,51001,7.20967,0
2020-02-29,Albemarle,Virginia,51003,10.2811,0
2020-02-29,Alexandria,Virginia,51510,38.7749,0
2020-02-29,Amherst,Virginia,51009,4.00853,0
2020-02-29,Arlington,Virginia,51013,172.234,0
2020-02-29,Bedford,Virginia,51019,4.01244,0
2020-02-29,Botetourt,Virginia,51023,8.962,0
2020-02-29,Charles City,Virginia,51036,10.8303,0
2020-02-29,Charlottesville,Virginia,51540,24.3633,0
2020-02-29,Chesapeake,Virginia,51550,1.2336,0
2020-02-29,Chesterfield,Virginia,51041,55.6144,0
2020-02-29,Culpeper,Virginia,51047,8.01834,0
2020-02-29,Danville,Virginia,51590,4.01359,0
2020-02-29,Fairfax,Virginia,51059,193.103,0
2020-02-29,Fluvanna,Virginia,51065,4.01643,0
2020-02-29,Franklin,Virginia,51067,7.21049,0
2020-02-29,Gloucester,Virginia,51073,11.6407,0
2020-02-29,Goochland,Virginia,51075,13.6587,0
2020-02-29,Halifax,Virginia,51083,1.23203,0
2020-02-29,Hanover,Virginia,51085,20.8137,0
2020-02-29,Harrisonburg,Virginia,51660,18.6963,0
2020-02-29,Henrico,Virginia,51087,37.5298,0
2020-02-29,Isle of Wight,Virginia,51093,5.78576,0
2020-02-29,James City,Virginia,51095,207.928,0
2020-02-29,Lee,Virginia,51105,11.1357,0
2020-02-29,Loudoun,Virginia,51107,89.8639,0
2020-02-29,Louisa,Virginia,51109,5.41126,0
2020-02-29,Madison,Virginia,51113,1.23599,0
2020-02-29,Mecklenburg,Virginia,51117,7.35824,0
2020-02-29,Nelson,Virginia,51125,1.23213,0
2020-02-29,Newport News,Virginia,51700,10.9809,0
2020-02-29,Norfolk,Virginia,51710,9.0284,0
2020-02-29,Orange,Virginia,51137,1.23359,0
2020-02-29,Prince Edward,Virginia,51147,18.7,0
2020-02-29,Prince William,Virginia,51153,85.4734,0
2020-02-29,Richmond City,Virginia,51760,22.2645,0
2020-02-29,Rockbridge,Virginia,51163,7.2053,0
2020-02-29,Rockingham,Virginia,51165,8.35719,0
2020-02-29,Spotsylvania,Virginia,51177,21.9265,0
2020-02-29,Stafford,Virginia,51179,23.906,0
2020-02-29,Suffolk,Virginia,51800,8.96091,0
2020-02-29,Virginia Beach,Virginia,51810,70.8664,0
2020-02-29,Williamsburg,Virginia,51830,23.0738,0
2020-02-29,York,Virginia,51199,20.9293,0
2020-03-01,Accomack,Virginia,51001,8.67241,0
2020-03-01,Albemarle,Virginia,51003,12.52,0
2020-03-01,Alexandria,Virginia,51510,45.0077,0
2020-03-01,Amherst,Virginia,51009,5.2855,0
2020-03-01,Arlington,Virginia,51013,197.023,0
2020-03-01,Bedford,Virginia,51019,5.71883,0
2020-03-01,Botetourt,Virginia,51023,10.3512,0
2020-03-01,Charles City,Virginia,51036,12.1599,0
2020-03-01,Charlottesville,Virginia,51540,28.9693,0
2020-03-01,Chesapeake,Virginia,51550,3.49876,0
2020-03-01,Chesterfield,Virginia,51041,64.4646,0
2020-03-01,Culpeper,Virginia,51047,10.5727,0
2020-03-01,Danville,Virginia,51590,5.50632,0
2020-03-01,Fairfax,Virginia,51059,218.627,0
2020-03-01,Fluvanna,Virginia,51065,5.29592,0
2020-03-01,Franklin,Virginia,51067,8.56322,0
2020-03-01,Frederick,Virginia,51069,2.33484,0
2020-03-01,Fredericksburg,Virginia,51630,1.16787,0
2020-03-01,Gloucester,Virginia,51073,13.9411,0
2020-03-01,Goochland,Virginia,51075,15.722,0
2020-03-01,Halifax,Virginia,51083,2.43463,0
2020-03-01,Hanover,Virginia,51085,21.0274,0
2020-03-01,Harrisonburg,Virginia,51660,19.0588,0
2020-03-01,Henrico,Virginia,51087,47.4447,0
2020-03-01,Isle of Wight,Virginia,51093,7.52227,0
2020-03-01,James City,Virginia,51095,233.648,0
2020-03-01,Lee,Virginia,51105,13.7708,0
2020-03-01,Loudoun,Virginia,51107,100.928,0
2020-03-01,Louisa,Virginia,51109,7.80711,0
2020-03-01,Lynchburg,Virginia,51680,1.16473,0
2020-03-01,Madison,Virginia,51113,2.44246,0
2020-03-01,Mathews,Virginia,51115,1.16969,0
2020-03-01,Mecklenburg,Virginia,51117,9.15288,0
2020-03-01,Nelson,Virginia,51125,2.43482,0
2020-03-01,Newport News,Virginia,51700,13.8584,0
2020-03-01,Norfolk,Virginia,51710,13.8234,0
2020-03-01,Nottoway,Virginia,51135,1.16908,0
2020-03-01,Orange,Virginia,51137,2.4377,0
2020-03-01,Prince Edward,Virginia,51147,19.0626,0
2020-03-01,Prince William,Virginia,51153,104.14,0
2020-03-01,Radford,Virginia,51750,1.17132,0
2020-03-01,Richmond City,Virginia,51760,34.1862,0
2020-03-01,Roanoke,Virginia,51161,1.16465,0
2020-03-01,Rockbridge,Virginia,51163,8.66716,0
2020-03-01,Rockingham,Virginia,51165,11.4625,0
2020-03-01,Shenandoah,Virginia,51171,3.49987,0
2020-03-01,Spotsylvania,Virginia,51177,22.5053,0
2020-03-01,Stafford,Virginia,51179,28.8482,0
2020-03-01,Suffolk,Virginia,51800,10.3499,0
2020-03-01,Virginia Beach,Virginia,51810,83.9182,0
2020-03-01,Williamsburg,Virginia,51830,28.2422,0
2020-03-01,York,Virginia,51199,26.0039,0
2020-03-02,Accomack,Virginia,51001,10.2531,0
2020-03-02,Albemarle,Virginia,51003,15.2546,0
2020-03-02,Alexandria,Virginia,51510,51.6975,0
2020-03-02,Amelia,Virginia,51007,1.10154,0
2020-03-02,Amherst,Virginia,51009,6.53288,0
2020-03-02,Arlington,Virginia,51013,223.757,0
2020-03-02,Bedford,Virginia,51019,7.76198,0
2020-03-02,Botetourt,Virginia,51023,11.618,0
2020-03-02,Charles City,Virginia,51036,13.2643,0
2020-03-02,Charlottesville,Virginia,51540,33.873,0
2020-03-02,Chesapeake,Virginia,51550,6.42472,0
2020-03-02,Chesterfield,Virginia,51041,73.0483,0
2020-03-02,Culpeper,Virginia,51047,13.0679,0
2020-03-02,Danville,Virginia,51590,7.15267,0
2020-03-02,Fairfax,Virginia,51059,250.465,0
2020-03-02,Fauquier,Virginia,51061,1.10055,0
2020-03-02,Fluvanna,Virginia,51065,6.8298,0
2020-03-02,Franklin,Virginia,51067,9.88616,0
2020-03-02,Frederick,Virginia,51069,4.61088,0
2020-03-02,Fredericksburg,Virginia,51630,2.30634,0
2020-03-02,Gloucester,Virginia,51073,16.2834,0
2020-03-02,Goochland,Virginia,51075,17.8913,0
2020-03-02,Halifax,Virginia,51083,3.60779,0
2020-03-02,Hampton,Virginia,51650,1.0996,0
2020-03-02,Hanover,Virginia,51085,21.3801,0
2020-03-02,Harrisonburg,Virginia,51660,19.3527,0
2020-03-02,Henrico,Virginia,51087,59.743,0
2020-03-02,Isle of Wight,Virginia,51093,9.3484,0
2020-03-02,James City,Virginia,51095,260.982,0
2020-03-02,Lee,Virginia,51105,16.3465,0
2020-03-02,Loudoun,Virginia,51107,113.621,0
2020-03-02,Louisa,Virginia,51109,10.543,0
2020-03-02,Lynchburg,Virginia,51680,2.30013,0
2020-03-02,Madison,Virginia,51113,3.61939,0
2020-03-02,Mathews,Virginia,51115,2.30993,0
2020-03-02,Mecklenburg,Virginia,51117,11.1806,0
2020-03-02,Nelson,Virginia,51125,3.60807,0
2020-03-02,Newport News,Virginia,51700,17.2796,0
2020-03-02,Norfolk,Virginia,51710,19.6403,0
2020-03-02,Nottoway,Virginia,51135,2.30872,0
2020-03-02,Orange,Virginia,51137,3.61234,0
2020-03-02,Pittsylvania,Virginia,51143,1.1027,0
2020-03-02,Poquoson,Virginia,51735,1.10328,0
2020-03-02,Prince Edward,Virginia,51147,19.3565,0
2020-03-02,Prince William,Virginia,51153,125.744,0
2020-03-02,Radford,Virginia,51750,2.31314,0
2020-03-02,Richmond City,Virginia,51760,46.1374,0
2020-03-02,Roanoke,Virginia,51161,2.29997,0
2020-03-02,Rockbridge,Virginia,51163,10.2469,0
2020-03-02,Rockingham,Virginia,51165,14.6242,0
2020-03-02,Shenandoah,Virginia,51171,6.91159,0
2020-03-02,Spotsylvania,Virginia,51177,23.3841,0
2020-03-02,Stafford,Virginia,51179,34.1942,0
2020-03-02,Suffolk,Virginia,51800,11.6166,0
2020-03-02,Virginia Beach,Virginia,51810,99.3134,0
2020-03-02,Warren,Virginia,51187,1.10147,0
2020-03-02,Washington,Virginia,51191,1.09925,0
2020-03-02,Williamsburg,Virginia,51830,33.8481,0
2020-03-02,York,Virginia,51199,32.053,0
2020-03-03,Accomack,Virginia,51001,11.8713,0
2020-03-03,Albemarle,Virginia,51003,18.6445,0
2020-03-03,Alexandria,Virginia,51510,59.3032,0
2020-03-03,Amelia,Virginia,51007,2.17375,0
2020-03-03,Amherst,Virginia,51009,7.75065,0
2020-03-03,Arlington,Virginia,51013,253.039,0
2020-03-03,Bedford,Virginia,51019,10,0
2020-03-03,Botetourt,Virginia,51023,12.6693,0
2020-03-03,Bristol,Virginia,51520,1.03369,0
2020-03-03,Charles City,Virginia,51036,14.152,0
2020-03-03,Charlottesville,Virginia,51540,39.097,0
2020-03-03,Chesapeake,Virginia,51550,9.86389,0
2020-03-03,Chesterfield,Virginia,51041,81.27,0
2020-03-03,Culpeper,Virginia,51047,15.5038,0
2020-03-03,Danville,Virginia,51590,9.07313,0
2020-03-03,Fairfax,Virginia,51059,290.136,0
2020-03-03,Fauquier,Virginia,51061,3.57854,0
2020-03-03,Fluvanna,Virginia,51065,8.64398,0
2020-03-03,Franklin,Virginia,51067,11.0917,0
2020-03-03,Frederick,Virginia,51069,7.39079,0
2020-03-03,Fredericksburg,Virginia,51630,3.41538,0
2020-03-03,Galax,Virginia,51640,1.03512,0
2020-03-03,Gloucester,Virginia,51073,18.6122,0
2020-03-03,Goochland,Virginia,51075,20.158,0
2020-03-03,Greene,Virginia,51079,1.03654,0
2020-03-03,Halifax,Virginia,51083,4.75151,0
2020-03-03,Hampton,Virginia,51650,4.04397,0
2020-03-03,Hanover,Virginia,51085,21.8954,0
2020-03-03,Harrisonburg,Virginia,51660,19.8199,0
2020-03-03,Henrico,Virginia,51087,74.3246,0
2020-03-03,Isle of Wight,Virginia,51093,11.2216,0
2020-03-03,James City,Virginia,51095,290.886,0
2020-03-03,King George,Virginia,51099,1.03504,0
2020-03-03,Lee,Virginia,51105,18.8626,0
2020-03-03,Loudoun,Virginia,51107,128.815,0
2020-03-03,Louisa,Virginia,51109,13.6317,0
2020-03-03,Lynchburg,Virginia,51680,3.68688,0
2020-03-03,Madison,Virginia,51113,4.95511,0
2020-03-03,Mathews,Virginia,51115,3.4207,0
2020-03-03,Mecklenburg,Virginia,51117,13.4582,0
2020-03-03,Montgomery,Virginia,51121,1.03466,0
2020-03-03,Nelson,Virginia,51125,4.75189,0
2020-03-03,Newport News,Virginia,51700,21.8989,0
2020-03-03,Norfolk,Virginia,51710,26.4596,0
2020-03-03,Northampton,Virginia,51131,1.03286,0
2020-03-03,Northumberland,Virginia,51133,2.07204,0
2020-03-03,Nottoway,Virginia,51135,3.41892,0
2020-03-03,Orange,Virginia,51137,4.75751,0
2020-03-03,Pittsylvania,Virginia,51143,2.17604,0
2020-03-03,Poquoson,Virginia,51735,2.17718,0
2020-03-03,Portsmouth,Virginia,51740,3.10088,0
2020-03-03,Prince Edward,Virginia,51147,19.6844,0
2020-03-03,Prince George,Virginia,51149,2.0743,0
2020-03-03,Prince William,Virginia,51153,148.999,0
2020-03-03,Radford,Virginia,51750,3.42546,0
2020-03-03,Richmond City,Virginia,51760,58.1727,0
2020-03-03,Roanoke,Virginia,51161,3.40596,0
2020-03-03,Rockbridge,Virginia,51163,11.8641,0
2020-03-03,Rockingham,Virginia,51165,17.8897,0
2020-03-03,Shenandoah,Virginia,51171,10.2352,0
2020-03-03,Southampton,Virginia,51175,1.03434,0
2020-03-03,Spotsylvania,Virginia,51177,24.5893,0
2020-03-03,Stafford,Virginia,51179,40.5229,0
2020-03-03,Suffolk,Virginia,51800,12.6677,0
2020-03-03,Virginia Beach,Virginia,51810,117.2,0
2020-03-03,Warren,Virginia,51187,2.64292,0
2020-03-03,Washington,Virginia,51191,2.16922,0
2020-03-03,Williamsburg,Virginia,51830,39.3146,0
2020-03-03,York,Virginia,51199,38.7761,0
2020-03-04,Accomack,Virginia,51001,13.4299,0
